1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
11.0,5.0,13.0,feb,2024,3800,850,510,1030,27850,5500.0,11050.0,4820.0,62030.0,197060.0,1530500.0
1.0,3.0,4.0,feb,2023,220,130,230,260,970,450.0,470.0,1180.0,1420.0,2630.0,7700.0
2.0,5.0,4.0,feb,2022,510,230,310,410,2640,1230.0,1980.0,3830.0,4690.0,16200.0,76940.0
1.0,9.0,8.0,feb,2021,330,180,510,400,6620,2130.0,1560.0,3620.0,9300.0,24940.0,101710.0
1.0,16.0,3.0,feb,2020,280,160,2160,220,36230,11170.0,520.0,18320.0,46980.0,95310.0,464920.0
1.0,2.0,8.0,feb,2019,260,130,120,340,430,230.0,1100.0,760.0,750.0,2310.0,6620.0
4.0,1.0,6.0,feb,2018,1070,280,130,350,1140,520.0,2620.0,720.0,3530.0,6540.0,41560.0
2.0,5.0,1.0,feb,2017,500,180,180,150,1470,550.0,530.0,430.0,2520.0,2140.0,9240.0
2.0,1.0,7.0,feb,2016,510,180,120,420,680,320.0,1690.0,1070.0,1510.0,3820.0,16010.0
1.0,5.0,3.0,feb,2015,210,130,300,190,1570,650.0,390.0,1110.0,2100.0,3060.0,12370.0
16.0,2.0,1.0,feb,2014,27210,3310,140,140,84380,15760.0,14890.0,240.0,256050.0,55360.0,949120.0
3.0,9.0,7.0,feb,2013,670,250,600,250,10330,2990.0,760.0,2000.0,17580.0,16150.0,111130.0
7.0,4.0,2.0,feb,2012,2430,760,660,310,10510,2430.0,1160.0,950.0,26210.0,15530.0,141910.0
1.0,3.0,4.0,feb,2011,350,160,220,220,1100,490.0,560.0,860.0,2040.0,3200.0,12240.0
1.0,5.0,2.0,feb,2010,170,110,240,160,890,330.0,210.0,840.0,1190.0,1160.0,4190.0
6.0,3.0,1.0,feb,2009,2060,450,200,130,4710,1700.0,1180.0,450.0,14070.0,5730.0,57720.0
1.0,7.0,3.0,feb,2008,240,140,360,160,2820,950.0,350.0,1020.0,3520.0,3820.0,17550.0
3.0,2.0,9.0,feb,2007,590,220,200,590,1490,740.0,2000.0,2260.0,3210.0,11710.0,54210.0
1.0,2.0,11.0,feb,2006,270,130,160,750,660,290.0,1860.0,1820.0,1090.0,5920.0,21200.0
1.0,5.0,6.0,feb,2005,200,130,290,350,1180,520.0,670.0,1490.0,1540.0,4450.0,12220.0
1.0,3.0,4.0,feb,2003,310,150,240,280,1370,610.0,700.0,1380.0,2150.0,4390.0,
1.0,4.0,2.0,feb,2002,350,150,210,160,1350,630.0,410.0,700.0,,,
5.0,2.0,4.0,feb,2001,1040,330,170,280,2130,920.0,1330.0,920.0,,,
4.0,2.0,7.0,feb,2000,710,190,200,270,1530,600.0,1030.0,830.0,,,
2.0,7.0,4.0,feb,1999,470,220,310,230,3720,,,,,,
6.0,8.0,10.0,feb,1998,1120,440,610,890,11730,,,,,,
6.0,1.0,2.0,feb,1997,1190,260,140,150,1570,,,,,,
3.0,9.0,6.0,feb,1996,460,220,660,370,6910,,,,,,
2.0,3.0,6.0,feb,1995,540,170,210,420,1560,,,,,,
6.0,2.0,5.0,taka,2024,960,300,180,340,2110,760.0,1900.0,1190.0,4920.0,10020.0,58740.0
12.0,2.0,13.0,taka,2023,3230,660,220,770,7920,2360.0,6520.0,4290.0,24330.0,81180.0,668280.0
8.0,5.0,17.0,taka,2022,2780,660,420,4500,13560,3490.0,40170.0,28390.0,34720.0,525080.0,2784560.0
2.0,1.0,3.0,taka,2021,600,210,140,190,1010,430.0,680.0,450.0,2170.0,2200.0,9770.0
3.0,12.0,17.0,taka,2019,780,320,2210,6410,30530,7590.0,30460.0,88520.0,49630.0,870740.0,4497470.0
2.0,3.0,10.0,taka,2018,550,240,220,750,1690,700.0,2290.0,2760.0,3170.0,15910.0,60450.0
5.0,2.0,1.0,taka,2017,870,230,180,160,2150,770.0,700.0,480.0,4750.0,3230.0,23880.0
1.0,2.0,3.0,taka,2016,390,150,150,170,890,370.0,450.0,520.0,1730.0,1740.0,6690.0
4.0,6.0,3.0,taka,2015,650,260,490,230,7480,2930.0,1040.0,1980.0,10770.0,14000.0,81560.0
3.0,8.0,1.0,taka,2014,770,260,350,140,10400,2640.0,540.0,720.0,17030.0,7990.0,71040.0
